Year,Season,Zone,ID,Station_ID,Species,Numbers,Length,Mort,Injury,Microsporidian
1996,Fall,W,4,W4,TW,25,NA,NA,NA,NA
1996,Fall,W,4,W4,TW,40,NA,NA,NA,NA
1996,Fall,W,4,W4,TW,22,NA,NA,NA,NA
1996,Fall,W,4,W4,TW,15,NA,NA,NA,NA
1996,Fall,W,4,W4,TW,22,NA,NA,NA,NA
1996,Fall,W,4,W4,TW,1,27,NA,NA,NA
1996,Fall,W,4,W4,TW,1,27,NA,NA,NA
1996,Fall,W,4,W4,TW,1,23,NA,NA,NA
1996,Fall,W,4,W4,TW,1,28,NA,NA,NA
1996,Fall,W,4,W4,TW,1,17,NA,NA,NA
1996,Fall,W,4,W4,TW,1,25,NA,NA,NA
1996,Fall,W,4,W4,TW,1,19,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,17,NA,NA,NA
1996,Fall,W,4,W4,TW,1,26,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,25,NA,NA,NA
1996,Fall,W,4,W4,TW,1,17,NA,NA,NA
1996,Fall,W,4,W4,TW,1,25,NA,NA,NA
1996,Fall,W,4,W4,TW,1,15,NA,NA,NA
1996,Fall,W,4,W4,TW,1,20,NA,NA,NA
1996,Fall,W,4,W4,TW,1,17,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,20,NA,NA,NA
1996,Fall,W,4,W4,TW,1,17,NA,NA,NA
1996,Fall,W,4,W4,TW,1,17,NA,NA,NA
1996,Fall,W,4,W4,TW,1,23,NA,NA,NA
1996,Fall,W,4,W4,TW,1,28,NA,NA,NA
1996,Fall,W,4,W4,TW,1,18,NA,NA,NA
1996,Fall,W,4,W4,TW,1,26,NA,NA,NA
1996,Fall,W,4,W4,TW,1,24,NA,NA,NA
1996,Fall,W,4,W4,TW,1,39,NA,NA,NA
1996,Fall,W,4,W4,TW,1,17,NA,NA,NA
1996,Fall,W,4,W4,TW,1,20,NA,NA,NA
1996,Fall,W,4,W4,TW,1,34,NA,NA,NA
1996,Fall,W,4,W4,TW,1,32,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,15,NA,NA,NA
1996,Fall,W,4,W4,TW,1,24,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,21,NA,NA,NA
1996,Fall,W,4,W4,TW,1,27,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,25,NA,NA,NA
1996,Fall,W,4,W4,TW,1,14,NA,NA,NA
1996,Fall,W,4,W4,TW,1,25,NA,NA,NA
1996,Fall,W,4,W4,TW,1,16,NA,NA,NA
1996,Fall,W,4,W4,TW,1,20,NA,NA,NA
1996,Fall,W,4,W4,TW,1,25,NA,NA,NA
1996,Fall,W,4,W4,TW,1,24,NA,NA,NA
1996,Fall,W,4,W4,TW,1,24,NA,NA,NA
1996,Fall,W,4,W4,TW,1,18,NA,NA,NA
1996,Fall,W,4,W4,TW,1,30,NA,NA,NA
1996,Fall,W,4,W4,TW,1,22,NA,NA,NA
1996,Fall,W,4,W4,SB,1,32,NA,NA,NA
1996,Fall,NW,6,NW6,TW,50,NA,NA,NA,NA
1996,Fall,NW,6,NW6,TW,11,NA,NA,NA,NA
1996,Fall,NW,6,NW6,TW,50,NA,NA,NA,NA
1996,Fall,NW,6,NW6,TW,27,NA,NA,NA,NA
1996,Fall,NW,6,NW6,TW,14,NA,NA,NA,NA
